Intent Type,conversationId,Round 1 Successful,Round 1 Successful but Misrouted,Round 1 Understood but Incorrect,Round 1 Not Understood,Round 2 Successful,Round 2 Successful but Misrouted,Round 2 Understood but Incorrect,Round 2 Not Understood,usertext1,confidence1_1,userresponse1_1,interpretation1_1,interpretation1_2,usertext2,confidence2_1,userresponse2_1,interpretation2_1,interpretation2_2,directagentflag,issuegroup,latest_queue_key,top_transfer_path
BILLING,0077f36f-0255-44f1-a766-99aa18b2048f,1,0,0,0,0,0,0,0,Hello. I need an invoice/receipt for the subscription renewal y'all automatically processed on 4/21 for $119.88. Thank you.,Disambiguation,BILLING,RESULT01:BILLING SCORE01:70.00,RESULT02:PLAN_DETAILS SCORE02:70.00,NULL,NULL,NULL,NULL,NULL,0,End User Account Management,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,02afac17-0625-4a52-9cde-bb853db687ba,1,0,0,0,0,0,0,0,"Hi i literally just deactivated my account but didnt get notified I would be charged until after it had closed. The reason I was deactivating was because of financial difficulties, I really cant afford the cancellation fee so can you please recativate the plan or something?",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,End User Account Management,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,043d8c73-fc54-4915-86ee-a3db970ba591,1,0,0,0,0,0,0,0,Hello the reason I need help is because I meant to cancel my plan before I was going to be charged the $20 for this month I had stopped using the Adobe apps way before if there is any way I can get a refund.,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,064e9599-712b-46e3-9816-7ee54bdfd0e4,0,0,1,0,1,0,0,0,"Hello,      I want to cancel my order ADB056507001RU and to refund my last payment.       Can You help me?      Nikolay Kalashnikov",High Confidence,NO,RESULT01:BILLING SCORE01:100.00,NULL,I want refund my money,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,06be6395-7f0d-4193-b36f-439c4bd8403f,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ADB-Eng-RT-Bot,NULL
BILLING,06c3152e-ef8e-4cea-bdc9-167cf9f3bfbb,1,0,0,0,0,0,0,0,"We paid ?150.92 in March , I need an invoice please",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,End User Account Management,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,074ce9f1-81af-4f9e-be9f-d38ef6185fb2,1,0,0,0,0,0,0,0,I was surprised to the the amount withdrawn on my bank account,High Confidence,YES,RESULT01:BILLING SCORE01:70.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,078f96f9-878c-498d-a4fe-e04d6b45eb33,1,0,0,0,0,0,0,0,I wanted my auto renew cancelled. Need to cancel this plan and refund help please.,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0995593c-2e6a-4bcd-99e4-8ec004b6a24a,1,0,0,0,0,0,0,0,My account is not showing a teacher discount,High Confidence,YES,RESULT01:BILLING SCORE01:70.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,09a70566-86c2-45a0-8903-c917340f4a69,1,0,0,0,0,0,0,0,"Respected /adobe customer care Adobe Administrator,  ?It is requested that i choosed to cancel/ I cancelled my monthly plan on 21.04.2019, online, ?as laid down in your website. But sorry to say that company has charged monthly plan from my credit card without my consent (GCIN9917IRL29003OSGIN2019000000165478, ???Order Number:?61137790400). ?Even, no communication has made to me. It is not genuine.? It is requested that my deducted charges ?1,995.38 may kindly be refunded to me at the earliest.      ?",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,09ce04b3-094b-42fe-bd63-d241a2038f1e,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,ADB-Eng-RT-Bot,NULL
BILLING,0b6464bb-8718-491e-a315-0822a74aaefd,0,0,0,0,1,0,0,0,My chat got disconnected,NULL,NULL,NULL,NULL,I want a refund,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,0,Billing,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0c4cca9a-29b3-45f9-8098-e9c0fc490087,1,0,0,0,0,0,0,0,My monthly payments have increased in recent months. I previously had a student discount but now I think I'm paying full price. It is difficult as a student to make these payments. How do I get the student discount back?,Disambiguation,BILLING,RESULT01:BILLING SCORE01:70.00,RESULT02:SALES SCORE02:70.00,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0cdb8c00-366c-4211-b67e-b15064adbd55,1,0,0,0,0,0,0,0,I cancelled my account but still got charged this month????,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0d0ea849-e0af-4917-8031-d764cbfdf965,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0d6ead6e-1dda-4e64-83b8-847ba7238ccc,1,0,0,0,0,0,0,0,"Hi Adobe. I have just realised, that since the September 2018 invoice, I have paid 190 DKK per month for my plan instead of the 121 DKK per month I paid until August 2018. I am not aware of having been informed of the reason for this increase in monthly cost. Is there an explanation, or is it perhaps a mistake? Best regards // Michael Frederiksen",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,End User Account Management,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0dbdc059-057b-48aa-a397-1e03ea8e9351,1,0,0,0,0,0,0,0,I have a billing issue,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0ddeb24b-84b8-4f10-8c17-72c61797c3c8,1,0,0,0,0,0,0,0,"Hi, sorry that I didn't answer at last message. In case of my bill: I'am not a VAT TAX PAYER, so rubric in my details should be blank. Few months ago I had the same problem and someone from your Customer Care Assistant helped me. Now the problem is back. I guess that correct amount at the bill with taxes is 10,23 euro (my last is 8,32). So could you make for me new bill with correct amount?",Disambiguation,BILLING,RESULT01:BILLING SCORE01:70.00,RESULT02:PRODUCT_USAGE SCORE02:62.44,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0e1c62d1-4d73-44b5-b6c7-a273a9b100cd,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,ADB-Eng-RT-Bot,NULL
BILLING,0e572cba-565c-427c-8661-36e9809603ef,0,0,0,0,1,0,0,0,I have been paying 16.24 and the last few monthsit went up to 24.96,NULL,NULL,NULL,NULL,"I want a refund, due to not being alerted of the 4 payments going up in price.",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0eeba5f6-340a-4473-bde4-cf45bc39141c,1,0,0,0,0,0,0,0,I am STILL being charged $15.98 a month for a trial subscription that was cancelled in March.,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0f47f435-241a-4d71-b39c-4da2da7d92c9,1,0,0,0,0,0,0,0,"On 12/04/2019, PLN 165.54 was collected from the credit card (PAYPAL * ADOBESYSTEM 35314369001 IE) and On the same day a regular payment of 29.99 $ was also paid (ADOBE STOCK ADOBE.COM IE). In the month of March and April I did not download photos. I am asking for a refund of 165.14 PLN",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,0fea7644-087c-4e29-9fb1-6e4f32ebd906,1,0,0,0,0,0,0,0,I just received a notice from Paypal that Adobe is charging me. I longer need this service from Adobe. I signed up for the free trial only.,Disambiguation,BILLING,RESULT01:ADOBE_ID/PASSWORD SCORE01:72.89,RESULT02:BILLING SCORE02:70.00,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,10248d11-651b-4f48-9a59-c8b45b093385,1,0,0,0,0,0,0,0,Hello I purchased an Adobe Acrobat subscription by mistake I am wondering if there is anyway to remove the charge on my account?,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,10a6d90a-1645-437a-9857-2fd0e79d8a1d,1,0,0,0,0,0,0,0,It is showing that my Annual renewal is nearly twice the amount I was previously paying,High Confidence,YES,RESULT01:BILLING SCORE01:70.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Billing,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,110bb8fc-aea1-4608-803c-1ff54c159c84,1,0,0,0,0,0,0,0,I'm being charged for something I thought I unsubscribed to,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,1112654f-48ad-4405-8b9a-206374428b25,0,0,0,0,0,0,0,0,?????????,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,ADB-Eng-RT-Bot,NULL
BILLING,12176e3e-a1c5-42cd-ba71-9ecf8a260df0,1,0,0,0,0,0,0,0,"Hello, I was charged $42.63 for a product that I didn't purchase and I ended my monthly subscription plan",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,141ebff8-0484-42e2-8213-59805b29efaa,0,0,0,0,1,0,0,0,CRM:07766000003006,NULL,NULL,NULL,NULL,I spoke to someone here previously to ensure my account subscription was cancelled yet my card was still charged recently,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,142dfc1f-ec29-4425-8d5b-c2df4d23aa15,1,0,0,0,0,0,0,0,"Hello, again i need invoices for my payments for march and april 2019. Again theres malfunction in your site",Disambiguation,BILLING,RESULT01:BILLING SCORE01:70.00,RESULT02:ADOBE_ID/PASSWORD SCORE02:66.02,NULL,NULL,NULL,NULL,NULL,0,End User Account Management,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,157f6b62-e753-4fbf-828a-03bd821f2bdc,1,0,0,0,0,0,0,0,HI I am questioning my invoice for Adobe Cloud all apps. who do I contact about that?,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,166646a8-9d72-4361-ad60-e21adc4ab4a5,1,0,0,0,0,0,0,0,I am being charged an additional $29.99. I just wanted the $9.99 plan. I paid the additional $29.99 last month.,High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,16eeb7f7-1666-41ee-b492-524ea62c12ef,1,0,0,0,0,0,0,0,"Hi, i did not know my plan was on auto-renewal. i need to cancel and get a refund asap.",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
BILLING,17bfad7c-80a6-4db4-9997-42d7dcbd94fc,1,0,0,0,0,0,0,0,"forgot to cancel my freetrial, got charged",High Confidence,YES,RESULT01:BILLING SCORE01:100.00,NULL,NULL,NULL,NULL,NULL,NULL,0,Retention,CCI-Eng-CS-Msg,ADB-Eng-RT-Bot->CCI-Eng-CS-Msg
