,0,1,2
0,0077f36f-0255-44f1-a766-99aa18b2048f,Hello. I need an invoice/receipt for the subscription renewal y'all automatically processed on 4/21 for $119.88. Thank you.,
1,02afac17-0625-4a52-9cde-bb853db687ba,"Hi i literally just deactivated my account but didnt get notified I would be charged until after it had closed. The reason I was deactivating was because of financial difficulties, I really cant afford the cancellation fee so can you please recativate the plan or something?",
2,043d8c73-fc54-4915-86ee-a3db970ba591,Hello the reason I need help is because I meant to cancel my plan before I was going to be charged the $20 for this month I had stopped using the Adobe apps way before if there is any way I can get a refund.,
3,064e9599-712b-46e3-9816-7ee54bdfd0e4,"Hello,      I want to cancel my order ADB056507001RU and to refund my last payment.       Can You help me?      Nikolay Kalashnikov",
4,06be6395-7f0d-4193-b36f-439c4bd8403f,,
5,06c3152e-ef8e-4cea-bdc9-167cf9f3bfbb,"We paid ?150.92 in March , I need an invoice please",
6,074ce9f1-81af-4f9e-be9f-d38ef6185fb2,I was surprised to the the amount withdrawn on my bank account,
7,078f96f9-878c-498d-a4fe-e04d6b45eb33,I wanted my auto renew cancelled. Need to cancel this plan and refund help please.,
8,0995593c-2e6a-4bcd-99e4-8ec004b6a24a,My account is not showing a teacher discount,
9,09a70566-86c2-45a0-8903-c917340f4a69,"Respected /adobe customer care Adobe Administrator,  ?It is requested that i choosed to cancel/ I cancelled my monthly plan on 21.04.2019, online, ?as laid down in your website. But sorry to say that company has charged monthly plan from my credit card without my consent (GCIN9917IRL29003OSGIN2019000000165478, ???Order Number:?61137790400). ?Even, no communication has made to me. It is not genuine.? It is requested that my deducted charges ?1,995.38 may kindly be refunded to me at the earliest.      ?",
10,09ce04b3-094b-42fe-bd63-d241a2038f1e,,
11,0b6464bb-8718-491e-a315-0822a74aaefd,My chat got disconnected,"{'recipient': {'id': '0b6464bb-8718-491e-a315-0822a74aaefd'}, 'message': {'seq': 0, 'text': 'I want to be sure I understand clearly. Can you describe the issue more specifically?', 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
12,0c4cca9a-29b3-45f9-8098-e9c0fc490087,My monthly payments have increased in recent months. I previously had a student discount but now I think I'm paying full price. It is difficult as a student to make these payments. How do I get the student discount back?,"{'recipient': {'id': '0c4cca9a-29b3-45f9-8098-e9c0fc490087'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Switch to a different plan', 'payload': 'Switch to a different plan'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
13,0cdb8c00-366c-4211-b67e-b15064adbd55,I cancelled my account but still got charged this month????,"{'recipient': {'id': '0cdb8c00-366c-4211-b67e-b15064adbd55'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Cancel a plan', 'payload': 'Cancel a plan'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
14,0d0ea849-e0af-4917-8031-d764cbfdf965,,
15,0d6ead6e-1dda-4e64-83b8-847ba7238ccc,"Hi Adobe. I have just realised, that since the September 2018 invoice, I have paid 190 DKK per month for my plan instead of the 121 DKK per month I paid until August 2018. I am not aware of having been informed of the reason for this increase in monthly cost. Is there an explanation, or is it perhaps a mistake? Best regards // Michael Frederiksen","{'recipient': {'id': '0d6ead6e-1dda-4e64-83b8-847ba7238ccc'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Invoice', 'payload': 'Invoice'}, {'type': 'postback', 'title': 'Get sign-in or password help', 'payload': 'Get sign-in or password help'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
16,0dbdc059-057b-48aa-a397-1e03ea8e9351,I have a billing issue,"{'recipient': {'id': '0dbdc059-057b-48aa-a397-1e03ea8e9351'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Billing or invoice"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
17,0ddeb24b-84b8-4f10-8c17-72c61797c3c8,"Hi, sorry that I didn't answer at last message. In case of my bill: I'am not a VAT TAX PAYER, so rubric in my details should be blank. Few months ago I had the same problem and someone from your Customer Care Assistant helped me. Now the problem is back. I guess that correct amount at the bill with taxes is 10,23 euro (my last is 8,32). So could you make for me new bill with correct amount?","{'recipient': {'id': '0ddeb24b-84b8-4f10-8c17-72c61797c3c8'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Help with a product', 'payload': 'Help with a product'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
18,0e1c62d1-4d73-44b5-b6c7-a273a9b100cd,,
19,0e572cba-565c-427c-8661-36e9809603ef,I have been paying 16.24 and the last few monthsit went up to 24.96,"{'recipient': {'id': '0e572cba-565c-427c-8661-36e9809603ef'}, 'message': {'seq': 0, 'text': 'I want to be sure I understand clearly. Can you describe the issue more specifically?', 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
20,0eeba5f6-340a-4473-bde4-cf45bc39141c,I am STILL being charged $15.98 a month for a trial subscription that was cancelled in March.,"{'recipient': {'id': '0eeba5f6-340a-4473-bde4-cf45bc39141c'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Cancel a plan', 'payload': 'Cancel a plan'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
21,0f47f435-241a-4d71-b39c-4da2da7d92c9,"On 12/04/2019, PLN 165.54 was collected from the credit card (PAYPAL * ADOBESYSTEM 35314369001 IE) and On the same day a regular payment of 29.99 $ was also paid (ADOBE STOCK ADOBE.COM IE). In the month of March and April I did not download photos. I am asking for a refund of 165.14 PLN","{'recipient': {'id': '0f47f435-241a-4d71-b39c-4da2da7d92c9'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Download or install a subscription product', 'payload': 'Download or install a subscription product'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
22,0fea7644-087c-4e29-9fb1-6e4f32ebd906,I just received a notice from Paypal that Adobe is charging me. I longer need this service from Adobe. I signed up for the free trial only.,"{'recipient': {'id': '0fea7644-087c-4e29-9fb1-6e4f32ebd906'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Get sign-in or password help', 'payload': 'Get sign-in or password help'}, {'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
23,10248d11-651b-4f48-9a59-c8b45b093385,Hello I purchased an Adobe Acrobat subscription by mistake I am wondering if there is anyway to remove the charge on my account?,"{'recipient': {'id': '10248d11-651b-4f48-9a59-c8b45b093385'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Cancel a plan', 'payload': 'Cancel a plan'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
24,10a6d90a-1645-437a-9857-2fd0e79d8a1d,It is showing that my Annual renewal is nearly twice the amount I was previously paying,"{'recipient': {'id': '10a6d90a-1645-437a-9857-2fd0e79d8a1d'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Billing or invoice"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
25,110bb8fc-aea1-4608-803c-1ff54c159c84,I'm being charged for something I thought I unsubscribed to,"{'recipient': {'id': '110bb8fc-aea1-4608-803c-1ff54c159c84'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Billing or invoice"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
26,1112654f-48ad-4405-8b9a-206374428b25,?????????,"{'recipient': {'id': '1112654f-48ad-4405-8b9a-206374428b25'}, 'message': {'seq': 0, 'text': 'I want to be sure I understand clearly. Can you describe the issue more specifically?', 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
27,12176e3e-a1c5-42cd-ba71-9ecf8a260df0,"Hello, I was charged $42.63 for a product that I didn't purchase and I ended my monthly subscription plan","{'recipient': {'id': '12176e3e-a1c5-42cd-ba71-9ecf8a260df0'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Switch to a different plan', 'payload': 'Switch to a different plan'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
28,141ebff8-0484-42e2-8213-59805b29efaa,CRM:07766000003006,"{'recipient': {'id': '141ebff8-0484-42e2-8213-59805b29efaa'}, 'message': {'seq': 0, 'text': 'I want to be sure I understand clearly. Can you describe the issue more specifically?', 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
29,142dfc1f-ec29-4425-8d5b-c2df4d23aa15,"Hello, again i need invoices for my payments for march and april 2019. Again theres malfunction in your site","{'recipient': {'id': '142dfc1f-ec29-4425-8d5b-c2df4d23aa15'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Invoice', 'payload': 'Invoice'}, {'type': 'postback', 'title': 'Get sign-in or password help', 'payload': 'Get sign-in or password help'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
30,157f6b62-e753-4fbf-828a-03bd821f2bdc,HI I am questioning my invoice for Adobe Cloud all apps. who do I contact about that?,"{'recipient': {'id': '157f6b62-e753-4fbf-828a-03bd821f2bdc'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': 'Invoice', 'payload': 'Invoice'}, {'type': 'postback', 'title': 'Get sign-in or password help', 'payload': 'Get sign-in or password help'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}"
